Date,Return
09/01/2009,0
09/02/2009,0
09/03/2009,0
09/04/2009,0
09/08/2009,0
09/09/2009,0
09/10/2009,0
09/11/2009,0
09/14/2009,0
09/15/2009,0
09/16/2009,0
09/17/2009,0
09/18/2009,0
09/21/2009,0
09/22/2009,0
09/23/2009,0
09/24/2009,0
09/25/2009,0
09/28/2009,0
09/29/2009,0
09/30/2009,0
10/01/2009,0
10/02/2009,0
10/05/2009,0
10/06/2009,0
10/07/2009,0
10/08/2009,0
10/09/2009,0
10/12/2009,0
10/13/2009,0
10/14/2009,0
10/15/2009,0
10/16/2009,0
10/19/2009,0
10/20/2009,0
10/21/2009,0
10/22/2009,0
10/23/2009,0
10/26/2009,0
10/27/2009,0
10/28/2009,0
10/29/2009,0
10/30/2009,0
11/02/2009,0
11/03/2009,0
11/04/2009,0
11/05/2009,0
11/06/2009,0
11/09/2009,0
11/10/2009,0
11/11/2009,0
11/12/2009,0
11/13/2009,0
11/16/2009,0
11/17/2009,0
11/18/2009,0
11/19/2009,0
11/20/2009,0
11/23/2009,0
11/24/2009,0
11/25/2009,0
11/27/2009,0
11/30/2009,0
12/01/2009,0.00136528339734365
12/02/2009,-0.000232962879180398
12/03/2009,-0.00102959346059861
12/04/2009,-0.00101539222438463
12/07/2009,0.00196192257193206
12/08/2009,0.000599061201702611
12/09/2009,-0.000606764206745769
12/10/2009,0.000331202522938501
12/11/2009,0.00011041509984322
12/14/2009,0.000416274820658424
12/15/2009,-0.000293797612567204
12/16/2009,0.00156550226202401
12/17/2009,-3.03833133267206e-05
12/18/2009,-0.000575071195437205
12/21/2009,0.000160339452907721
12/22/2009,-0.00103186710500658
12/23/2009,0.00131841969255375
12/24/2009,-0.000158954210540574
12/28/2009,-0.00140310047956949
12/29/2009,0.000239862820375691
12/30/2009,3.48041223192652e-05
12/31/2009,-0.0015756046647476
01/04/2010,0.00466773641869245
01/05/2010,0.00365959298901242
01/06/2010,0.000511900001282317
01/07/2010,0.000785331828037528
01/08/2010,0.00138169253113674
01/11/2010,0.000784298938557582
01/12/2010,-0.000605551419277095
01/13/2010,-0.00143250534814265
01/14/2010,0.00178293834511001
01/15/2010,-0.00072683274050811
01/19/2010,0.00154057725883927
01/20/2010,-0.00200576640781425
01/21/2010,-0.0045653706211316
01/22/2010,-0.00412379853988964
01/25/2010,0.00122217604204122
01/26/2010,0.000346653724220713
01/27/2010,0.000232222714476871
01/28/2010,-0.000131398521939996
01/29/2010,-0.000290581121993427
02/01/2010,4.96886779455252e-05
02/02/2010,0.000510975654770762
02/03/2010,-0.000626198014237689
02/04/2010,-0.00274360970881649
02/05/2010,-0.000469165825497053
02/08/2010,-5.57195833487123e-05
02/09/2010,-0.000300035337465365
02/10/2010,-0.00373003756388823
02/11/2010,-7.66058113171875e-05
02/12/2010,0.00119829992898657
02/16/2010,0.00223773262783444
02/17/2010,0.000838157277896157
02/18/2010,0.00175851813826999
02/19/2010,0.0010117061052124
02/22/2010,0.00137780135873755
02/23/2010,-0.00114511901775394
02/24/2010,0.000590800982100737
02/25/2010,0.00155208586028199
02/26/2010,0.000649315430260256
03/01/2010,0.000329673422349241
03/02/2010,0.000675828985947202
03/03/2010,0.00120315731443377
